user_id,value
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 002
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
S01post,AOI 003
